id,created,superceded_id,valid,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,valid_nt,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
236721943,2021-03-09 20:14:58.183080+00:00,,True,525.92285,153.0,0.0016888614,0.95677924,5.5594464e-05,2.19972e-06,0.00050337426,0.040970784,True,78113979297797818,720575940616064546,78113979297783938,720575940629017726,[436760 305240 120080],[436696 305128 120120]
236721954,2021-03-09 20:14:58.183080+00:00,,True,343.57184,130.0,0.029126463,0.57052714,0.19373068,0.0074830092,0.012818352,0.18631428,True,78114048017305386,720575940616064546,78114048017310987,720575940605488305,[437224 306388 120160],[437312 306448 120160]
236721966,2021-03-09 20:14:58.183080+00:00,,True,22.099672,22.0,0.009164171,0.89270073,0.008110988,0.033549674,0.00059455965,0.055879876,True,78113979297790914,720575940616064546,78113979297796525,720575940611588835,[437008 305132 120360],[436920 305048 120360]
236727477,2021-03-09 20:14:58.183080+00:00,,True,45.256836,0.0,0.26521188,0.27178454,0.3602914,0.0037893073,0.055941597,0.04298132,True,78465891738127382,720575940625095813,78465891738136782,720575940610012565,[458112 306028 119680],[458108 305888 119680]
236727478,2021-03-09 20:14:58.183080+00:00,,True,8.647954,0.0,0.041751627,0.24600105,0.63879764,0.011993724,0.044524655,0.016931338,True,78465891738142192,720575940625095813,78465891738137003,720575940610012565,[457784 306040 119680],[457744 305944 119680]
236727422,2021-03-09 20:14:58.183080+00:00,,True,16.367811,0.0,0.03740061,0.5309087,0.21111034,0.1113006,0.042012196,0.067267574,True,78465891738121226,720575940625095813,78465891738123507,720575940604448500,[457844 305820 119400],[457828 305688 119360]
236727429,2021-03-09 20:14:58.183080+00:00,,True,9.553422,0.0,0.005006097,0.016194742,0.027452184,0.0084237065,0.2953023,0.6476209,True,78465823018660399,720575940610146713,78465823018665209,720575940610146713,[457960 304188 119400],[457992 304216 119400]
236727440,2021-03-09 20:14:58.183080+00:00,,True,89.91,0.0,0.037123166,0.66263753,0.16305918,0.06212225,0.020369131,0.05468878,True,78465891738122257,720575940625095813,78465891738125927,720575940604450292,[457824 305860 119440],[457884 305756 119440]
236727441,2021-03-09 20:14:58.183080+00:00,,True,49.658142,1.0,0.02337925,0.3803744,0.29333416,0.026112363,0.10036074,0.17643909,True,78465891738116712,720575940625095813,78465891738122241,720575940619332925,[457636 305956 119440],[457568 305872 119440]
236727464,2021-03-09 20:14:58.183080+00:00,,True,369.79742,170.0,0.011499783,0.77572185,0.11914493,0.023819609,0.062393118,0.00742067,True,78465823018655319,720575940610146713,78465823018652691,720575940619106877,[458160 304540 119600],[458224 304464 119640]
236727472,2021-03-09 20:14:58.183080+00:00,,True,249.63599,156.0,0.0136648035,0.70710456,0.23590426,0.021651512,0.01909131,0.0025835386,True,78465823018664139,720575940610146713,78465823018661705,720575940619107133,[458128 304564 119640],[458100 304440 119640]
236727473,2021-03-09 20:14:58.183080+00:00,,True,219.27792,158.0,0.018629204,0.7936334,0.11768481,0.027604219,0.03723926,0.005209169,True,78465823018655331,720575940610146713,78465823018661712,720575940619106109,[458188 304608 119680],[458324 304528 119640]
236727486,2021-03-09 20:14:58.183080+00:00,,True,12.493853,0.0,0.11301024,0.17974623,0.6259879,0.012334223,0.025267167,0.04365422,True,78465891738142275,720575940618055003,78465891738133556,720575940569986964,[455608 306832 119880],[455624 306816 119760]
236727487,2021-03-09 20:14:58.183080+00:00,,True,95.16951,0.0,0.09801702,0.38291448,0.44219664,0.018391788,0.011380229,0.047099814,True,78465891738142275,720575940618055003,78465891738135889,720575940570025364,[455632 306768 119920],[455680 306632 119800]
236727494,2021-03-09 20:14:58.183080+00:00,,True,216.26091,0.0,0.043628506,0.5449723,0.29762605,0.03719079,0.041449465,0.03513298,True,78465891738142275,720575940618055003,78465891738154479,720575940630907434,[455696 306720 119880],[455644 306560 119880]
236727500,2021-03-09 20:14:58.183080+00:00,,True,147.70844,0.0,0.038777858,0.71754366,0.17143293,0.04026055,0.0122716855,0.019713294,True,78465891738146070,720575940618055003,78465891738154479,720575940630907434,[455700 306680 119920],[455696 306556 119920]
236727456,2021-03-09 20:14:58.183080+00:00,,True,141.22397,11.0,0.016531985,0.59472674,0.26458484,0.07643102,0.0184519,0.029273476,True,78465891738118977,720575940625095813,78465891738134570,720575940624539993,[457672 305972 119560],[457616 305872 119520]
